Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id,Cost_sgd
2022-08-26,TW171,Seoul / Incheon (ICN/RKSI),Singapore / Changi (SIN/WSSS),0:00:00,0:00:00,6:30:00,Trans World Airlines (TW/TWA),Boeing 737 MAX 8 (B38M),,,0,0,0,,3602,2672,1104,2123,167.39
2022-09-09,GF166,Singapore / Changi (SIN/WSSS),Bahrain / Bahrain (BAH/OBBI),20:00:00,23:29:00,8:29:00,Gulf Air (GF/GFA),Boeing 787-9 (B789),,,0,0,0,,2672,215,324,2088,261.93
2022-09-11,GF25,Bahrain / Bahrain (BAH/OBBI),Milan / Malpensa (MXP/LIMC),1:40:00,6:55:00,6:15:00,Gulf Air (GF/GFA),Airbus A321LR (A21N),,,0,0,0,,215,1983,324,2181,176.91
2022-09-29,TK1876,Milan / Malpensa (MXP/LIMC),Istanbul / Istanbul Airport (IST/LTFM),20:10:00,0:10:00,3:00:00,Turkish Airlines (TK/THY),Airbus A350-900 (A359),,,0,0,0,,1983,8949,769,2110,61.57
2022-09-30,TK54,Istanbul / Istanbul Airport (IST/LTFM),Singapore / Changi (SIN/WSSS),2:05:00,17:55:00,10:50:00,Turkish Airlines (TK/THY),Boeing 777-300ER (B77W),,,0,0,0,,8949,2672,769,2023,317.69
2022-10-01,SQ 356,Singapore / Changi (SIN/WSSS),Milan / Malpensa (MXP/LIMC),0:00:00,0:00:00,12:00:00,Singapore Airlines (SQ/SIA), (),,,0,0,0,,2672,1983,0,0,440
2022-11-19,W64352,Bergamo / Orio Al Serio (BGY/LIME),Sofia / Sofia (SOF/LBSF),8:25:00,11:25:00,2:00:00,Wizz Air (W6/WZZ),Airbus A320-200 (A320),,,0,0,0,,293,2738,859,2059,30.78
2022-11-22,JU146,Belgrade / Nikola Tesla Beograd (BEG/LYBE),Bucharest / Henri Coanda (OTP/LROP),0:00:00,0:00:00,0:52:00, Air Serbia, (),,,0,0,0,,261,2230,0,0,80.73
2022-11-23,W63135,Bucharest / Henri Coanda (OTP/LROP),Bergamo / Orio Al Serio (BGY/LIME),0:00:00,0:00:00,1:59:00, Wizz Air, (),,,0,0,0,,2230,293,0,0,19.33
2022-11-24,SQ 355,Milan / Malpensa (MXP/LIMC),Singapore / Changi (SIN/WSSS),0:00:00,0:00:00,12:00:00,Singapore Airlines (SQ/SIA), (),,,0,0,0,,1983,2672,0,0,380
2022-11-30,TK55,Singapore / Changi (SIN/WSSS),Istanbul / Istanbul Airport (IST/LTFM),23:10:00,5:15:00,11:05:00,Turkish Airlines (TK/THY),Boeing 777-300ER (B77W),,,0,0,0,,2672,8949,769,2023,317.69
2022-11-30,TK1873,Istanbul / Istanbul Airport (IST/LTFM),Milan / Malpensa (MXP/LIMC),6:50:00,8:45:00,2:55:00,Turkish Airlines (TK/THY),Airbus A330-300 (A333),,,0,0,0,,8949,1983,769,31,61.57
2022-12-01,FR3587,Bergamo / Orio Al Serio (BGY/LIME),Torp / Sandefjord (TRF/ENTO),6:25:00,8:55:00,2:30:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,0,0,,293,3005,668,231,21.9
2022-12-05,FR4680,Stockholm / Arlanda (ARN/ESSA),Bergamo / Orio Al Serio (BGY/LIME),0:00:00,0:00:00,2:28:00, Ryanair, (),,,0,0,0,,3622,293,0,0,64.63
2022-12-09,W6 2335,Budapest / Franz Liszt International (BUD/LHBP),Milan / Malpensa (MXP/LIMC),0:00:00,0:00:00,1:30:00,Wizz Air, (),,,0,0,0,,429,1983,0,0,55
2022-12-29,W65786,Milan / Malpensa (MXP/LIMC),London / Gatwick (LGW/EGKK),0:00:00,0:00:00,1:27:00, Wizz Air, (),,,0,0,0,,1983,1614,0,0,49.8
2023-01-04,W65799,London / Gatwick (LGW/EGKK),Milan / Malpensa (MXP/LIMC),0:00:00,0:00:00,1:27:00, Wizz Air, (),,,0,0,0,,1614,1983,0,0,49.8
2023-01-31,FR1429,Bergamo / Orio Al Serio (BGY/LIME),Madrid / Barajas (MAD/LEMD),0:00:00,0:00:00,1:53:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,0,0,,293,1739,668,231,28.09
2023-02-03,FR9681,Madrid / Barajas (MAD/LEMD),Lisbon / Portela (LIS/LPPT),0:00:00,0:00:00,0:56:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,0,0,,1739,1632,668,231,31.19
2023-02-04,EJU7343,Lisbon / Portela (LIS/LPPT),Madrid / Barajas (MAD/LEMD),0:00:00,0:00:00,0:56:00, Easyjet, (),,,0,0,0,,1632,1739,0,0,25.58
2023-02-04,FR5983,Madrid / Barajas (MAD/LEMD),Bergamo / Orio Al Serio (BGY/LIME),0:00:00,0:00:00,1:53:00, Ryanair, (),,,0,0,0,,1739,293,0,0,28.09
2023-03-09,FR4235,Bergamo / Orio Al Serio (BGY/LIME),Beauvais / Beauvais Tille (BVA/LFOB),0:00:00,0:00:00,1:12:00, Ryanair, (),,,0,0,0,,293,440,0,0,25.6
2023-03-11,BJ731,Paris / Charles de Gaulle (CDG/LFPG),Tunis / Tunis Carthage (TUN/DTTA),17:35:00,19:05:00,2:30:00,Nouvelair Tunisia (BJ/LBT),Airbus A320neo (A20N),,,0,0,0,,509,3044,464,2127,72.06
2023-03-13,BJ 510,Tunis / Tunis Carthage (TUN/DTTA),Paris / Charles de Gaulle (CDG/LFPG),0:00:00,0:00:00,2:15:00, Nouvelair Tunisia, (),,,0,0,0,,3044,509,0,0,72.06
2023-03-14,FR3566,Beauvais / Beauvais Tille (BVA/LFOB),Bergamo / Orio Al Serio (BGY/LIME),0:00:00,0:00:00,1:12:00, Ryanair, (),,,0,0,0,,440,293,0,0,25.6
2023-03-18,FR9959,Milan / Malpensa (MXP/LIMC),Malta / Luqa (MLA/LMML),0:00:00,0:00:00,1:51:00, Ryanair, (),,,0,0,0,,1983,1863,0,0,28.97
2023-03-20,FR3606,Malta / Luqa (MLA/LMML),Bergamo / Orio Al Serio (BGY/LIME),0:00:00,0:00:00,1:49:00, Ryanair, (),,,0,0,0,,1863,293,0,0,28.97
2023-04-06,W6 1432,Bergamo / Orio Al Serio (BGY/LIME),Warsaw / Chopin (Okecie) (WAW/EPWA),0:00:00,0:00:00,1:43:00, Wizz Air, (),,,0,0,0,,293,3142,0,0,51.7
2023-04-12,FR3550,Hamburg / Fuhlsbuttel (HAM/EDDH),Bergamo / Orio Al Serio (BGY/LIME),0:00:00,0:00:00,1:26:00, Ryanair, (),,,0,0,0,,1093,293,0,0,71.35
2023-04-18,FR1852,Marseille / Marseille Provence (MRS/LFML),Bergamo / Orio Al Serio (BGY/LIME),14:40:00,15:50:00,1:10:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,0,0,,1928,293,668,231,24.35
2023-05-11,FR4774,Bergamo / Orio Al Serio (BGY/LIME),Thessaloniki / Makedonia (SKG/LGTS),0:00:00,0:00:00,1:53:00, Ryanair, (),,,0,0,0,,293,2696,0,0,35.87
